file_path,language,extension,loc,size_bytes
.devcontainer/on-create-command.sh,Shell,.sh,7,172
docs/conf.py,Python,.py,84,3487
examples/celery/make_celery.py,Python,.py,3,106
examples/celery/src/task_app/tasks.py,Python,.py,15,507
examples/celery/src/task_app/views.py,Python,.py,28,992
examples/celery/src/task_app/__init__.py,Python,.py,31,1063
examples/celery/src/task_app/templates/index.html,HTML,.html,95,3017
examples/javascript/js_example/views.py,Python,.py,13,447
examples/javascript/js_example/__init__.py,Python,.py,3,96
examples/javascript/js_example/templates/base.html,HTML,.html,33,1211
examples/javascript/js_example/templates/fetch.html,HTML,.html,28,885
examples/javascript/js_example/templates/jquery.html,HTML,.html,23,693
examples/javascript/js_example/templates/xhr.html,HTML,.html,25,962
examples/javascript/tests/conftest.py,Python,.py,10,231
examples/javascript/tests/test_js_example.py,Python,.py,22,754
examples/tutorial/flaskr/auth.py,Python,.py,90,3412
examples/tutorial/flaskr/blog.py,Python,.py,100,3430
examples/tutorial/flaskr/db.py,Python,.py,40,1373
examples/tutorial/flaskr/__init__.py,Python,.py,36,1454
examples/tutorial/flaskr/static/style.css,CSS,.css,109,1830
examples/tutorial/flaskr/templates/base.html,HTML,.html,24,776
examples/tutorial/flaskr/templates/auth/login.html,HTML,.html,13,439
examples/tutorial/flaskr/templates/auth/register.html,HTML,.html,13,443
examples/tutorial/flaskr/templates/blog/create.html,HTML,.html,13,462
examples/tutorial/flaskr/templates/blog/index.html,HTML,.html,26,818
examples/tutorial/flaskr/templates/blog/update.html,HTML,.html,17,709
examples/tutorial/tests/conftest.py,Python,.py,44,1516
examples/tutorial/tests/test_auth.py,Python,.py,53,2139
examples/tutorial/tests/test_blog.py,Python,.py,61,2586
examples/tutorial/tests/test_db.py,Python,.py,19,645
examples/tutorial/tests/test_factory.py,Python,.py,8,310
src/flask/app.py,Python,.py,1328,67100
src/flask/blueprints.py,Python,.py,102,4669
src/flask/cli.py,Python,.py,899,37963
src/flask/config.py,Python,.py,286,13586
src/flask/ctx.py,Python,.py,404,18801
src/flask/debughelpers.py,Python,.py,146,6249
src/flask/globals.py,Python,.py,58,2491
src/flask/helpers.py,Python,.py,534,25310
src/flask/logging.py,Python,.py,55,2456
src/flask/sessions.py,Python,.py,310,15354
src/flask/signals.py,Python,.py,14,767
src/flask/templating.py,Python,.py,166,7548
src/flask/testing.py,Python,.py,237,10432
src/flask/typing.py,Python,.py,77,3201
src/flask/views.py,Python,.py,146,7162
src/flask/wrappers.py,Python,.py,194,9663
src/flask/__init__.py,Python,.py,39,2111
src/flask/__main__.py,Python,.py,2,33
src/flask/json/provider.py,Python,.py,163,7859
src/flask/json/tag.py,Python,.py,236,9608
src/flask/json/__init__.py,Python,.py,122,5753
src/flask/sansio/app.py,Python,.py,832,40508
src/flask/sansio/blueprints.py,Python,.py,572,27709
src/flask/sansio/scaffold.py,Python,.py,647,31433
tests/conftest.py,Python,.py,82,2658
tests/test_appctx.py,Python,.py,194,7092
tests/test_async.py,Python,.py,104,3480
tests/test_basic.py,Python,.py,1487,56247
tests/test_blueprints.py,Python,.py,790,32402
tests/test_cli.py,Python,.py,536,21006
tests/test_config.py,Python,.py,193,7998
tests/test_converters.py,Python,.py,29,1135
tests/test_helpers.py,Python,.py,273,11595
tests/test_instance_config.py,Python,.py,80,3428
tests/test_json.py,Python,.py,272,9087
tests/test_json_tag.py,Python,.py,64,2084
tests/test_logging.py,Python,.py,69,2627
tests/test_regression.py,Python,.py,22,742
tests/test_reqctx.py,Python,.py,190,6945
tests/test_request.py,Python,.py,53,1972
tests/test_session_interface.py,Python,.py,21,812
tests/test_signals.py,Python,.py,139,5045
tests/test_subclassing.py,Python,.py,15,501
tests/test_templating.py,Python,.py,387,15935
tests/test_testing.py,Python,.py,286,10961
tests/test_user_error_handler.py,Python,.py,215,8731
tests/test_views.py,Python,.py,187,7329
tests/static/index.html,HTML,.html,1,23
tests/templates/context_template.html,HTML,.html,1,37
tests/templates/escaping_template.html,HTML,.html,6,153
tests/templates/simple_template.html,HTML,.html,1,24
tests/templates/template_filter.html,HTML,.html,1,27
tests/templates/template_test.html,HTML,.html,3,54
tests/templates/_macro.html,HTML,.html,1,56
tests/test_apps/blueprintapp/__init__.py,Python,.py,7,265
tests/test_apps/blueprintapp/apps/__init__.py,Python,.py,0,0
tests/test_apps/blueprintapp/apps/admin/__init__.py,Python,.py,15,386
tests/test_apps/blueprintapp/apps/admin/static/css/test.css,CSS,.css,1,19
tests/test_apps/blueprintapp/apps/admin/templates/admin/index.html,HTML,.html,1,22
tests/test_apps/blueprintapp/apps/frontend/__init__.py,Python,.py,9,341
tests/test_apps/blueprintapp/apps/frontend/templates/frontend/index.html,HTML,.html,1,25
tests/test_apps/cliapp/app.py,Python,.py,2,55
tests/test_apps/cliapp/factory.py,Python,.py,7,182
tests/test_apps/cliapp/importerrorapp.py,Python,.py,3,78
tests/test_apps/cliapp/multiapp.py,Python,.py,3,71
tests/test_apps/cliapp/__init__.py,Python,.py,0,0
tests/test_apps/cliapp/inner1/__init__.py,Python,.py,2,58
tests/test_apps/cliapp/inner1/inner2/flask.py,Python,.py,2,50
tests/test_apps/cliapp/inner1/inner2/__init__.py,Python,.py,0,0
tests/test_apps/helloworld/hello.py,Python,.py,5,112
tests/test_apps/helloworld/wsgi.py,Python,.py,1,37
tests/test_apps/subdomaintestmodule/__init__.py,Python,.py,2,76
tests/type_check/typing_app_decorators.py,Python,.py,18,621
tests/type_check/typing_error_handler.py,Python,.py,21,680
tests/type_check/typing_route.py,Python,.py,71,2644
